IDCLIENTE,EVOLUCION_LCR,DIAS_MORA,COMPORT_INTERNO,ACTIVIDAD,EST_CIVIL,EDAD,RENTA,SEXO,TIPO_VIVIENDA,Salario_Anual
1838,Aumenta Cupo,18,Mal Cliente,Independiente,Soltero,37,6458,M,Propia, $ 32.290.000 
643,Disminuye Cupo,24,Buen Cliente,Dependiente,Soltero,29,6419,F,Arrienda, $ 32.095.000 
1642,Disminuye Cupo,24,Buen Cliente,Dependiente,Soltero,29,6419,F,Arrienda, $ 32.095.000 
1158,Mantiene Cupo,47,Mal Cliente,Independiente,Casado,33,6416,F,Arrienda, $ 32.080.000 
159,Mantiene Cupo,45,Mal Cliente,Independiente,Casado,33,6416,F,Arrienda, $ 32.080.000 
1396,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,60,6403,M,Propia, $ 32.015.000 
397,Mantiene Cupo,23,Buen Cliente,Dependiente,Casado,60,6403,M,Propia, $ 32.015.000 
95,Mantiene Cupo,18,Buen Cliente,Dependiente,Casado,54,6361,M,Propia, $ 31.805.000 
1094,Mantiene Cupo,18,Buen Cliente,Dependiente,Casado,54,6361,M,Propia, $ 31.805.000 
1999,Disminuye Cupo,30,Buen Cliente,Dependiente,Soltero,60,6350,M,Propia, $ 31.750.000 
1999,Disminuye Cupo,30,Buen Cliente,Dependiente,Soltero,60,6350,M,Propia, $ 31.750.000 
1919,Disminuye Cupo,48,Buen Cliente,Dependiente,Casado,52,6331,M,Propia, $ 31.655.000 
920,Disminuye Cupo,1,Buen Cliente,Dependiente,Casado,52,6331,M,Propia, $ 31.655.000 
622,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,54,6314,M,Propia, $ 31.570.000 
1621,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,54,6314,M,Propia, $ 31.570.000 
55,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,28,6313,M,Propia, $ 31.565.000 
1054,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,28,6313,M,Propia, $ 31.565.000 
1712,Aumenta Cupo,38,Buen Cliente,Independiente,Soltero,29,6304,M,Propia, $ 31.520.000 
713,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,29,6304,M,Propia, $ 31.520.000 
642,Mantiene Cupo,42,Mal Cliente,Independiente,Casado,32,6289,M,Arrienda, $ 31.445.000 
1641,Mantiene Cupo,42,Mal Cliente,Independiente,Casado,32,6289,M,Arrienda, $ 31.445.000 
1763,Mantiene Cupo,60,Buen Cliente,Dependiente,Casado,34,6288,M,Propia, $ 31.440.000 
764,Mantiene Cupo,16,Buen Cliente,Dependiente,Casado,34,6288,M,Propia, $ 31.440.000 
116,Mantiene Cupo,18,Buen Cliente,Independiente,Soltero,51,6260,M,Propia, $ 31.300.000 
1115,Mantiene Cupo,18,Buen Cliente,Independiente,Soltero,51,6260,M,Propia, $ 31.300.000 
593,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,50,6229,F,Arrienda, $ 31.145.000 
1592,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,50,6229,F,Arrienda, $ 31.145.000 
721,Mantiene Cupo,48,Buen Cliente,Dependiente,Casado,63,6224,M,Propia, $ 31.120.000 
1720,Mantiene Cupo,48,Buen Cliente,Dependiente,Casado,63,6224,M,Propia, $ 31.120.000 
252,Mantiene Cupo,18,Buen Cliente,Dependiente,Casado,48,6204,M,Propia, $ 31.020.000 
1251,Mantiene Cupo,18,Buen Cliente,Dependiente,Casado,48,6204,M,Propia, $ 31.020.000 
995,Disminuye Cupo,12,Mal Cliente,Dependiente,Soltero,32,6199,M,Propia, $ 30.995.000 
1994,Disminuye Cupo,12,Mal Cliente,Dependiente,Soltero,32,6199,M,Propia, $ 30.995.000 
12,Disminuye Cupo,30,Buen Cliente,Dependiente,Soltero,34,6187,F,Propia, $ 30.935.000 
1011,Disminuye Cupo,30,Buen Cliente,Dependiente,Soltero,34,6187,F,Propia, $ 30.935.000 
740,Mantiene Cupo,20,Mal Cliente,Dependiente,Soltero,37,6148,F,Propia, $ 30.740.000 
1739,Mantiene Cupo,20,Mal Cliente,Dependiente,Soltero,37,6148,F,Propia, $ 30.740.000 
1643,Disminuye Cupo,47,Buen Cliente,Dependiente,Soltero,32,6143,F,Arrienda, $ 30.715.000 
644,Disminuye Cupo,46,Buen Cliente,Dependiente,Soltero,32,6143,F,Arrienda, $ 30.715.000 
710,Aumenta Cupo,39,Mal Cliente,Dependiente,Casado,51,6110,M,Propia, $ 30.550.000 
1709,Aumenta Cupo,6,Mal Cliente,Dependiente,Casado,51,6110,M,Propia, $ 30.550.000 
400,Mantiene Cupo,12,Buen Cliente,Independiente,Casado,49,6078,M,Propia, $ 30.390.000 
1399,Mantiene Cupo,12,Buen Cliente,Independiente,Casado,49,6078,M,Propia, $ 30.390.000 
330,Aumenta Cupo,18,Buen Cliente,Dependiente,Casado,29,6070,M,Propia, $ 30.350.000 
1329,Aumenta Cupo,18,Buen Cliente,Dependiente,Casado,29,6070,M,Propia, $ 30.350.000 
865,Disminuye Cupo,40,Buen Cliente,Dependiente,Soltero,34,5998,M,Propia, $ 29.990.000 
1864,Disminuye Cupo,40,Buen Cliente,Dependiente,Soltero,34,5998,M,Propia, $ 29.990.000 
378,Mantiene Cupo,27,Buen Cliente,Dependiente,Casado,33,5965,M,Propia, $ 29.825.000 
1377,Mantiene Cupo,55,Buen Cliente,Dependiente,Casado,33,5965,M,Propia, $ 29.825.000 
100,Mantiene Cupo,42,Mal Cliente,Independiente,Casado,48,5954,F,Arrienda, $ 29.770.000 
1099,Mantiene Cupo,42,Mal Cliente,Independiente,Casado,48,5954,F,Arrienda, $ 29.770.000 
158,Aumenta Cupo,30,Mal Cliente,Dependiente,Casado,57,5954,M,Propia, $ 29.770.000 
1157,Aumenta Cupo,30,Mal Cliente,Dependiente,Casado,57,5954,M,Propia, $ 29.770.000 
830,Mantiene Cupo,50,Buen Cliente,Dependiente,Casado,62,5951,F,Arrienda, $ 29.755.000 
1829,Mantiene Cupo,55,Buen Cliente,Dependiente,Casado,62,5951,F,Arrienda, $ 29.755.000 
519,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,36,5943,F,Arrienda, $ 29.715.000 
1518,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,36,5943,F,Arrienda, $ 29.715.000 
83,Mantiene Cupo,18,Buen Cliente,Independiente,Casado,55,5866,M,Propia, $ 29.330.000 
1082,Mantiene Cupo,18,Buen Cliente,Independiente,Casado,55,5866,M,Propia, $ 29.330.000 
171,Mantiene Cupo,36,Mal Cliente,Dependiente,Soltero,55,5848,M,Propia, $ 29.240.000 
1170,Mantiene Cupo,36,Mal Cliente,Dependiente,Soltero,55,5848,M,Propia, $ 29.240.000 
122,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,45,5842,M,Propia, $ 29.210.000 
1121,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,45,5842,M,Propia, $ 29.210.000 
418,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,37,5804,M,Propia, $ 29.020.000 
1417,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,37,5804,M,Propia, $ 29.020.000 
484,Aumenta Cupo,12,Buen Cliente,Dependiente,Casado,35,5801,M,Propia, $ 29.005.000 
1483,Aumenta Cupo,12,Buen Cliente,Dependiente,Casado,35,5801,M,Propia, $ 29.005.000 
702,Mantiene Cupo,36,Mal Cliente,Dependiente,Soltero,36,5800,M,Propia, $ 29.000.000 
1701,Mantiene Cupo,36,Mal Cliente,Dependiente,Soltero,36,5800,M,Propia, $ 29.000.000 
167,Aumenta Cupo,30,Buen Cliente,Dependiente,Casado,61,5771,F,Arrienda, $ 28.855.000 
1166,Aumenta Cupo,30,Buen Cliente,Dependiente,Casado,61,5771,F,Arrienda, $ 28.855.000 
454,Mantiene Cupo,24,Mal Cliente,Dependiente,Casado,47,5743,F,Arrienda, $ 28.715.000 
1453,Mantiene Cupo,24,Mal Cliente,Dependiente,Casado,47,5743,F,Arrienda, $ 28.715.000 
186,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,36,5742,M,Propia, $ 28.710.000 
1185,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,36,5742,M,Propia, $ 28.710.000 
255,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,31,5711,M,Propia, $ 28.555.000 
1254,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,31,5711,M,Propia, $ 28.555.000 
1719,Mantiene Cupo,65,Buen Cliente,Dependiente,Soltero,45,5595,F,Propia, $ 27.975.000 
720,Mantiene Cupo,30,Buen Cliente,Dependiente,Soltero,45,5595,F,Propia, $ 27.975.000 
395,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,33,5511,M,Propia, $ 27.555.000 
1394,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,33,5511,M,Propia, $ 27.555.000 
748,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,36,5507,M,Propia, $ 27.535.000 
1747,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,36,5507,M,Propia, $ 27.535.000 
735,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,46,5493,M,Propia, $ 27.465.000 
1734,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,46,5493,M,Propia, $ 27.465.000 
1558,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,29,5433,F,Arrienda, $ 27.165.000 
559,Aumenta Cupo,0,Buen Cliente,Dependiente,Soltero,29,5433,F,Arrienda, $ 27.165.000 
1405,Mantiene Cupo,2,Buen Cliente,Independiente,Soltero,54,5381,M,Propia, $ 26.905.000 
406,Mantiene Cupo,1,Buen Cliente,Independiente,Soltero,54,5381,M,Propia, $ 26.905.000 
596,Disminuye Cupo,36,Buen Cliente,Dependiente,Soltero,37,5371,M,Propia, $ 26.855.000 
1595,Disminuye Cupo,36,Buen Cliente,Dependiente,Soltero,37,5371,M,Propia, $ 26.855.000 
468,Aumenta Cupo,15,Mal Cliente,Independiente,Casado,52,5324,F,Arrienda, $ 26.620.000 
1467,Aumenta Cupo,15,Mal Cliente,Independiente,Casado,52,5324,F,Arrienda, $ 26.620.000 
587,Disminuye Cupo,18,Buen Cliente,Independiente,Casado,53,5302,M,Propia, $ 26.510.000 
1586,Disminuye Cupo,18,Buen Cliente,Independiente,Casado,53,5302,M,Propia, $ 26.510.000 
924,Disminuye Cupo,27,Mal Cliente,Independiente,Soltero,32,5293,M,Propia, $ 26.465.000 
1923,Disminuye Cupo,27,Mal Cliente,Independiente,Soltero,32,5293,M,Propia, $ 26.465.000 
250,Aumenta Cupo,21,Buen Cliente,Dependiente,Casado,50,5248,M,Propia, $ 26.240.000 
1249,Aumenta Cupo,21,Buen Cliente,Dependiente,Casado,50,5248,M,Propia, $ 26.240.000 
877,Mantiene Cupo,30,Buen Cliente,Independiente,Soltero,32,5234,F,Propia, $ 26.170.000 
1876,Mantiene Cupo,30,Buen Cliente,Independiente,Soltero,32,5234,F,Propia, $ 26.170.000 
481,Aumenta Cupo,27,Buen Cliente,Dependiente,Casado,54,5190,M,Propia, $ 25.950.000 
1480,Aumenta Cupo,27,Buen Cliente,Dependiente,Casado,54,5190,M,Propia, $ 25.950.000 
600,Disminuye Cupo,36,Buen Cliente,Dependiente,Soltero,36,5179,M,Propia, $ 25.895.000 
1599,Disminuye Cupo,36,Buen Cliente,Dependiente,Soltero,36,5179,M,Propia, $ 25.895.000 
302,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,47,5152,M,Propia, $ 25.760.000 
1301,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,47,5152,M,Propia, $ 25.760.000 
509,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,35,5150,M,Propia, $ 25.750.000 
1508,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,35,5150,M,Propia, $ 25.750.000 
815,Mantiene Cupo,9,Mal Cliente,Dependiente,Casado,30,5129,F,Arrienda, $ 25.645.000 
1814,Mantiene Cupo,9,Mal Cliente,Dependiente,Casado,30,5129,F,Arrienda, $ 25.645.000 
442,Aumenta Cupo,27,Buen Cliente,Independiente,Casado,48,5117,M,Propia, $ 25.585.000 
1441,Aumenta Cupo,27,Buen Cliente,Independiente,Casado,48,5117,M,Propia, $ 25.585.000 
126,Aumenta Cupo,46,Buen Cliente,Dependiente,Casado,34,5103,F,Propia, $ 25.515.000 
1125,Aumenta Cupo,0,Buen Cliente,Dependiente,Casado,34,5103,F,Propia, $ 25.515.000 
983,Mantiene Cupo,54,Buen Cliente,Dependiente,Casado,60,5096,F,Arrienda, $ 25.480.000 
1982,Mantiene Cupo,45,Buen Cliente,Dependiente,Casado,60,5096,F,Arrienda, $ 25.480.000 
143,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,31,5084,F,Arrienda, $ 25.420.000 
1142,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,31,5084,F,Arrienda, $ 25.420.000 
360,Aumenta Cupo,15,Buen Cliente,Independiente,Casado,37,5045,F,Arrienda, $ 25.225.000 
1359,Aumenta Cupo,15,Buen Cliente,Independiente,Casado,37,5045,F,Arrienda, $ 25.225.000 
763,Aumenta Cupo,21,Mal Cliente,Independiente,Casado,36,5003,F,Arrienda, $ 25.015.000 
1762,Aumenta Cupo,21,Mal Cliente,Independiente,Casado,36,5003,F,Arrienda, $ 25.015.000 
767,Mantiene Cupo,39,Buen Cliente,Dependiente,Casado,55,4933,M,Propia, $ 24.665.000 
1766,Mantiene Cupo,39,Buen Cliente,Dependiente,Casado,55,4933,M,Propia, $ 24.665.000 
911,Disminuye Cupo,24,Buen Cliente,Independiente,Casado,29,4870,M,Propia, $ 24.350.000 
1910,Disminuye Cupo,24,Buen Cliente,Independiente,Casado,29,4870,M,Propia, $ 24.350.000 
1970,Aumenta Cupo,47,Buen Cliente,Independiente,Casado,45,4844,M,Propia, $ 24.220.000 
971,Aumenta Cupo,45,Buen Cliente,Independiente,Casado,45,4844,M,Propia, $ 24.220.000 
828,Disminuye Cupo,12,Buen Cliente,Independiente,Casado,50,4843,M,Propia, $ 24.215.000 
1827,Disminuye Cupo,12,Buen Cliente,Independiente,Casado,50,4843,M,Propia, $ 24.215.000 
901,Disminuye Cupo,24,Buen Cliente,Independiente,Soltero,30,4817,M,Propia, $ 24.085.000 
1900,Disminuye Cupo,24,Buen Cliente,Independiente,Soltero,30,4817,M,Propia, $ 24.085.000 
745,Aumenta Cupo,30,Buen Cliente,Dependiente,Soltero,32,4811,F,Arrienda, $ 24.055.000 
1744,Aumenta Cupo,30,Buen Cliente,Dependiente,Soltero,32,4811,F,Arrienda, $ 24.055.000 
30,Mantiene Cupo,42,Mal Cliente,Dependiente,Casado,52,4796,M,Propia, $ 23.980.000 
1029,Mantiene Cupo,42,Mal Cliente,Dependiente,Casado,52,4796,M,Propia, $ 23.980.000 
121,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,35,4795,F,Arrienda, $ 23.975.000 
1120,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,35,4795,F,Arrienda, $ 23.975.000 
1608,Disminuye Cupo,5,Mal Cliente,Dependiente,Soltero,35,4788,M,Propia, $ 23.940.000 
609,Disminuye Cupo,2,Mal Cliente,Dependiente,Soltero,35,4788,M,Propia, $ 23.940.000 
26,Mantiene Cupo,11,Buen Cliente,Dependiente,Casado,53,4771,M,Propia, $ 23.855.000 
1025,Mantiene Cupo,11,Buen Cliente,Dependiente,Casado,53,4771,M,Propia, $ 23.855.000 
951,Mantiene Cupo,60,Buen Cliente,Dependiente,Casado,51,4746,M,Propia, $ 23.730.000 
1950,Mantiene Cupo,45,Buen Cliente,Dependiente,Casado,51,4746,M,Propia, $ 23.730.000 
790,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,37,4736,F,Arrienda, $ 23.680.000 
1789,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,37,4736,F,Arrienda, $ 23.680.000 
25,Disminuye Cupo,6,Buen Cliente,Independiente,Casado,35,4716,M,Propia, $ 23.580.000 
1024,Disminuye Cupo,6,Buen Cliente,Independiente,Casado,35,4716,M,Propia, $ 23.580.000 
103,Mantiene Cupo,24,Buen Cliente,Independiente,Casado,36,4712,M,Propia, $ 23.560.000 
1102,Mantiene Cupo,24,Buen Cliente,Independiente,Casado,36,4712,M,Propia, $ 23.560.000 
449,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,53,4686,M,Propia, $ 23.430.000 
1448,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,53,4686,M,Propia, $ 23.430.000 
1222,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,33,4679,M,Propia, $ 23.395.000 
223,Aumenta Cupo,0,Buen Cliente,Dependiente,Casado,33,4679,M,Propia, $ 23.395.000 
283,Aumenta Cupo,12,Buen Cliente,Dependiente,Soltero,38,4675,F,Arrienda, $ 23.375.000 
1282,Aumenta Cupo,12,Buen Cliente,Dependiente,Soltero,38,4675,F,Arrienda, $ 23.375.000 
407,Aumenta Cupo,15,Buen Cliente,Dependiente,Casado,33,4657,M,Propia, $ 23.285.000 
1406,Aumenta Cupo,15,Buen Cliente,Dependiente,Casado,33,4657,M,Propia, $ 23.285.000 
780,Aumenta Cupo,15,Buen Cliente,Dependiente,Soltero,30,4623,M,Propia, $ 23.115.000 
1779,Aumenta Cupo,15,Buen Cliente,Dependiente,Soltero,30,4623,M,Propia, $ 23.115.000 
835,Aumenta Cupo,6,Buen Cliente,Dependiente,Casado,34,4611,F,Arrienda, $ 23.055.000 
1834,Aumenta Cupo,6,Buen Cliente,Dependiente,Casado,34,4611,F,Arrienda, $ 23.055.000 
919,Disminuye Cupo,59,Mal Cliente,Dependiente,Casado,44,4605,M,Propia, $ 23.025.000 
1918,Disminuye Cupo,48,Mal Cliente,Dependiente,Casado,44,4605,M,Propia, $ 23.025.000 
405,Aumenta Cupo,18,Buen Cliente,Dependiente,Casado,51,4594,M,Propia, $ 22.970.000 
1404,Aumenta Cupo,18,Buen Cliente,Dependiente,Casado,51,4594,M,Propia, $ 22.970.000 
718,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,28,4591,M,Propia, $ 22.955.000 
1717,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,28,4591,M,Propia, $ 22.955.000 
595,Disminuye Cupo,30,Mal Cliente,Dependiente,Casado,33,4583,M,Arrienda, $ 22.915.000 
1594,Disminuye Cupo,30,Mal Cliente,Dependiente,Casado,33,4583,M,Arrienda, $ 22.915.000 
699,Mantiene Cupo,45,Mal Cliente,Dependiente,Casado,59,4576,M,Propia, $ 22.880.000 
1698,Mantiene Cupo,45,Mal Cliente,Dependiente,Casado,59,4576,M,Propia, $ 22.880.000 
431,Aumenta Cupo,30,Buen Cliente,Dependiente,Casado,49,4530,F,Arrienda, $ 22.650.000 
1430,Aumenta Cupo,30,Buen Cliente,Dependiente,Casado,49,4530,F,Arrienda, $ 22.650.000 
96,Aumenta Cupo,27,Buen Cliente,Dependiente,Soltero,28,4526,M,Propia, $ 22.630.000 
1095,Aumenta Cupo,50,Buen Cliente,Dependiente,Soltero,28,4526,M,Propia, $ 22.630.000 
168,Aumenta Cupo,24,Buen Cliente,Independiente,Casado,28,4526,M,Propia, $ 22.630.000 
1167,Aumenta Cupo,24,Buen Cliente,Independiente,Casado,28,4526,M,Propia, $ 22.630.000 
475,Mantiene Cupo,36,Mal Cliente,Dependiente,Casado,58,4473,M,Propia, $ 22.365.000 
1474,Mantiene Cupo,36,Mal Cliente,Dependiente,Casado,58,4473,M,Propia, $ 22.365.000 
832,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,31,4463,M,Propia, $ 22.315.000 
1831,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,31,4463,M,Propia, $ 22.315.000 
1097,Mantiene Cupo,38,Buen Cliente,Independiente,Soltero,33,4455,M,Arrienda, $ 22.275.000 
98,Mantiene Cupo,57,Buen Cliente,Independiente,Soltero,33,4455,M,Arrienda, $ 22.275.000 
88,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,31,4454,F,Arrienda, $ 22.270.000 
1087,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,31,4454,F,Arrienda, $ 22.270.000 
206,Mantiene Cupo,18,Buen Cliente,Independiente,Casado,35,4439,M,Propia, $ 22.195.000 
1205,Mantiene Cupo,18,Buen Cliente,Independiente,Casado,35,4439,M,Propia, $ 22.195.000 
227,Disminuye Cupo,18,Buen Cliente,Independiente,Soltero,47,4380,M,Propia, $ 21.900.000 
1226,Disminuye Cupo,18,Buen Cliente,Independiente,Soltero,47,4380,M,Propia, $ 21.900.000 
913,Disminuye Cupo,59,Buen Cliente,Dependiente,Casado,55,4370,M,Propia, $ 21.850.000 
1912,Disminuye Cupo,42,Buen Cliente,Dependiente,Casado,55,4370,M,Propia, $ 21.850.000 
651,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,32,4351,F,Arrienda, $ 21.755.000 
1650,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,32,4351,F,Arrienda, $ 21.755.000 
1861,Disminuye Cupo,47,Buen Cliente,Independiente,Casado,46,4308,F,Arrienda, $ 21.540.000 
862,Disminuye Cupo,45,Buen Cliente,Independiente,Casado,46,4308,F,Arrienda, $ 21.540.000 
777,Mantiene Cupo,18,Buen Cliente,Dependiente,Soltero,31,4297,M,Arrienda, $ 21.485.000 
1776,Mantiene Cupo,18,Buen Cliente,Dependiente,Soltero,31,4297,M,Arrienda, $ 21.485.000 
1578,Disminuye Cupo,33,Buen Cliente,Dependiente,Casado,54,4281,F,Arrienda, $ 21.405.000 
579,Disminuye Cupo,61,Buen Cliente,Dependiente,Casado,54,4281,F,Arrienda, $ 21.405.000 
959,Mantiene Cupo,30,Mal Cliente,Independiente,Casado,37,4280,F,Arrienda, $ 21.400.000 
1958,Mantiene Cupo,30,Mal Cliente,Independiente,Casado,37,4280,F,Arrienda, $ 21.400.000 
565,Aumenta Cupo,30,Mal Cliente,Independiente,Casado,36,4272,M,Propia, $ 21.360.000 
1564,Aumenta Cupo,30,Mal Cliente,Independiente,Casado,36,4272,M,Propia, $ 21.360.000 
639,Disminuye Cupo,20,Buen Cliente,Dependiente,Soltero,40,4272,F,Arrienda, $ 21.360.000 
1638,Disminuye Cupo,20,Buen Cliente,Dependiente,Soltero,40,4272,F,Arrienda, $ 21.360.000 
876,Mantiene Cupo,50,Buen Cliente,Independiente,Casado,52,4249,F,Propia, $ 21.245.000 
1875,Mantiene Cupo,51,Buen Cliente,Independiente,Casado,52,4249,F,Propia, $ 21.245.000 
789,Mantiene Cupo,24,Mal Cliente,Independiente,Soltero,31,4241,M,Propia, $ 21.205.000 
1788,Mantiene Cupo,24,Mal Cliente,Independiente,Soltero,31,4241,M,Propia, $ 21.205.000 
93,Mantiene Cupo,30,Mal Cliente,Independiente,Soltero,50,4221,F,Arrienda, $ 21.105.000 
1092,Mantiene Cupo,30,Mal Cliente,Independiente,Soltero,50,4221,F,Arrienda, $ 21.105.000 
834,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,50,4210,M,Propia, $ 21.050.000 
1833,Mantiene Cupo,61,Buen Cliente,Dependiente,Casado,50,4210,M,Propia, $ 21.050.000 
633,Disminuye Cupo,24,Buen Cliente,Dependiente,Soltero,37,4169,M,Propia, $ 20.845.000 
1632,Disminuye Cupo,24,Buen Cliente,Dependiente,Soltero,37,4169,M,Propia, $ 20.845.000 
837,Aumenta Cupo,18,Mal Cliente,Independiente,Casado,29,4165,M,Propia, $ 20.825.000 
1836,Aumenta Cupo,18,Mal Cliente,Independiente,Casado,29,4165,M,Propia, $ 20.825.000 
904,Disminuye Cupo,18,Buen Cliente,Dependiente,Soltero,33,4153,M,Propia, $ 20.765.000 
1903,Disminuye Cupo,18,Buen Cliente,Dependiente,Soltero,33,4153,M,Propia, $ 20.765.000 
248,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,46,4151,M,Propia, $ 20.755.000 
1247,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,46,4151,M,Propia, $ 20.755.000 
177,Aumenta Cupo,24,Buen Cliente,Independiente,Casado,38,4139,M,Propia, $ 20.695.000 
1176,Aumenta Cupo,24,Buen Cliente,Independiente,Casado,38,4139,M,Propia, $ 20.695.000 
754,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,32,4113,F,Arrienda, $ 20.565.000 
1753,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,32,4113,F,Arrienda, $ 20.565.000 
915,Disminuye Cupo,24,Mal Cliente,Dependiente,Casado,51,4110,M,Propia, $ 20.550.000 
1914,Disminuye Cupo,24,Mal Cliente,Dependiente,Casado,51,4110,M,Propia, $ 20.550.000 
838,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,48,4057,M,Arrienda, $ 20.285.000 
1837,Mantiene Cupo,24,Buen Cliente,Dependiente,Casado,48,4057,M,Arrienda, $ 20.285.000 
498,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,43,4042,M,Propia, $ 20.210.000 
1497,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,43,4042,M,Propia, $ 20.210.000 
385,Aumenta Cupo,42,Mal Cliente,Dependiente,Casado,62,4041,M,Propia, $ 20.205.000 
1384,Aumenta Cupo,42,Mal Cliente,Dependiente,Casado,62,4041,M,Propia, $ 20.205.000 
725,Disminuye Cupo,24,Buen Cliente,Dependiente,Casado,30,4020,M,Propia, $ 20.100.000 
1724,Disminuye Cupo,24,Buen Cliente,Dependiente,Casado,30,4020,M,Propia, $ 20.100.000 
464,Disminuye Cupo,28,Buen Cliente,Independiente,Casado,35,4006,M,Propia, $ 20.030.000 
1463,Disminuye Cupo,28,Buen Cliente,Independiente,Casado,35,4006,M,Propia, $ 20.030.000 
688,Mantiene Cupo,38,Mal Cliente,Dependiente,Casado,28,3990,F,Arrienda, $ 19.950.000 
1687,Mantiene Cupo,36,Mal Cliente,Dependiente,Casado,28,3990,F,Arrienda, $ 19.950.000 
542,Mantiene Cupo,52,Mal Cliente,Dependiente,Soltero,33,3979,M,Propia, $ 19.895.000 
1541,Mantiene Cupo,31,Mal Cliente,Dependiente,Soltero,33,3979,M,Propia, $ 19.895.000 
115,Mantiene Cupo,21,Buen Cliente,Dependiente,Soltero,55,3976,M,Propia, $ 19.880.000 
1114,Mantiene Cupo,21,Buen Cliente,Dependiente,Soltero,55,3976,M,Propia, $ 19.880.000 
455,Disminuye Cupo,35,Buen Cliente,Independiente,Soltero,59,3973,M,Propia, $ 19.865.000 
1454,Disminuye Cupo,14,Buen Cliente,Independiente,Soltero,59,3973,M,Propia, $ 19.865.000 
163,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,49,3972,F,Arrienda, $ 19.860.000 
1162,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,49,3972,F,Arrienda, $ 19.860.000 
994,Disminuye Cupo,18,Buen Cliente,Independiente,Casado,45,3966,F,Arrienda, $ 19.830.000 
1993,Disminuye Cupo,18,Buen Cliente,Independiente,Casado,45,3966,F,Arrienda, $ 19.830.000 
859,Disminuye Cupo,42,Buen Cliente,Dependiente,Casado,38,3965,M,Propia, $ 19.825.000 
1858,Disminuye Cupo,42,Buen Cliente,Dependiente,Casado,38,3965,M,Propia, $ 19.825.000 
1633,Disminuye Cupo,38,Buen Cliente,Dependiente,Soltero,33,3959,M,Propia, $ 19.795.000 
634,Disminuye Cupo,36,Buen Cliente,Dependiente,Soltero,33,3959,M,Propia, $ 19.795.000 
111,Disminuye Cupo,15,Buen Cliente,Independiente,Casado,38,3959,F,Arrienda, $ 19.795.000 
